Id,Category
628949369883000832,negative
628976607420645377,positive
629023169169518592,positive
629179223232479232,positive
629186282179153920,positive
629226490152914944,positive
629345637155360768,neutral
629394528336637953,positive
629650766580609026,positive
629797991826722816,neutral
630159517058142208,negative
630542330827771904,neutral
630636736746422272,negative
630807124872970240,neutral
630818265799921664,negative
630909171437801472,negative
630982270409572352,positive
631104156187627520,negative
631223085476261890,negative
631368262979297281,positive
631521079245307904,neutral
631543121407442946,positive
631696872323850240,negative
631792365590695936,positive
631842974268305408,negative
631843393971204097,neutral
631936716522278912,neutral
632374683334258688,negative
632536348419690496,neutral
632805868334153728,negative
632810315227467776,positive
632949742750687232,negative
632983468188696576,negative
633041928922132480,negative
633119630417129476,positive
633500866096574464,negative
633594289029808128,negative
633628599271190528,positive
633694793852407808,positive
633757225945665537,positive
634005885371711489,positive
634036617632546816,neutral
634098901025484800,neutral
634107085647511553,negative
634169076210733056,positive
634299598467678208,positive
634364883040006144,positive
634517732067778561,positive
634633252020555781,positive
634657299680858113,positive
634709942088409088,negative
634728738941456384,positive
634877877725569025,positive
634921865916452864,neutral
634926683284336640,neutral
635528136743092224,positive
635658548265947136,neutral
635795783099387904,neutral
635914448121626624,negative
635976557098573825,positive
636062553009987584,positive
636842896524726273,positive
636861074256592896,positive
636978321222467584,positive
637025180687167488,positive
637308387353432064,negative
637338158997180416,positive
637678387214065664,neutral
637830987108343808,negative
638219008542535680,neutral
638268341052948480,negative
638390714502619136,positive
638497802344091648,positive
638570993397682177,negative
638618791711084544,negative
638881767542263808,positive
638971652546543616,neutral
639009525958352896,negative
639102028296376320,negative
639160139820498944,negative
639352599288877056,neutral
639451183342596096,positive
639580199303016448,positive
639716079430967296,positive
639820535917092864,negative
639902509566414848,positive
639935724033339393,neutral
640261386417897473,negative
640510504159584256,positive
640668469315403776,positive
640736865499217920,neutral
640740939397492736,positive
640871644844572672,positive
640987727492722688,positive
641024489870987264,positive
641295194583797765,positive
641372287694823424,neutral
641382034678661120,positive
641626118949326848,positive
641666486793203712,neutral
630871616575139840,positive
631201229075533825,neutral
632260719245967360,negative
632266628600889344,positive
632293803072729089,positive
632358269168807936,negative
632362695602245632,negative
632393299282661378,positive
632477400178233344,positive
632557193376587776,positive
632598549872672768,positive
632884348430237696,positive
633367771191971840,positive
633464854737633280,positive
633547870327717888,negative
633662951778557952,positive
633684233005895680,positive
633837726106841088,negative
634596962608672768,positive
634728000702021632,positive
634733114456166400,positive
634790760408350720,positive
634842103588233217,negative
634869623075303424,negative
634871374897643520,positive
634896402594836484,neutral
635091272223617024,positive
635116963971342337,negative
635541261332578305,positive
635619836538822657,positive
635858634027724800,negative
635952446402072576,negative
635967581627650048,positive
636287426235924480,positive
636333501621661696,neutral
636380976432680960,positive
636394431940325376,negative
636396611900321792,positive
636518314508976128,negative
636542685214437377,negative
636927985967349760,negative
636928427082317824,positive
636931785054638080,negative
636977259736399872,positive
637023375987109892,positive
637024446360875008,positive
637081475070844929,neutral
637112539067715584,positive
637211482787287040,negative
637226942668771328,positive
637272224865521664,neutral
637273940046385152,negative
637358551292346368,neutral
637452274655211520,positive
637599197752098817,negative
637809432890576896,negative
637867653139271682,positive
637902049967894529,positive
638342141572460544,positive
638358086990741504,negative
638370183984222208,negative
638374587525238786,positive
638545792047972352,positive
638683716286464001,positive
638940182113161216,positive
639122550287671300,positive
639151037094469633,neutral
639159279715545089,negative
639173291958239237,positive
639438669443502080,positive
639457875270742017,negative
639537119141175297,positive
639577639561359360,positive
639842757289373696,negative
640077457257795584,positive
640214000156848128,positive
640242420228222976,positive
640356107274207232,positive
640490887861137409,negative
640529937481379841,positive
640638429768851456,positive
640860896282046464,positive
640867036328009728,positive
640893279605796866,positive
640950156054142977,positive
640954164437237760,positive
640960724215439360,positive
641018928421060608,positive
641024188124372992,positive
641033718275133441,positive
641097610040877056,neutral
641133565728657408,positive
641188113268641792,positive
641191685234421760,negative
641255033636454400,positive
641368361343975424,positive
641605506973306880,positive
641620412678451200,positive
641629245790404608,neutral
641638855477731328,positive
641182669821358080,positive
641186469944651776,neutral
641198931217547264,positive
641215923362271232,positive
641218935053000704,positive
641235224450338821,negative
641237443295973376,negative
641242217881948160,positive
641243340239994880,negative
641253680365334528,negative
641256326736314369,positive
641256781428183042,positive
641262559035830272,negative
641267504296382464,positive
641268293282623488,negative
641274461530927104,positive
641274744835194880,positive
641277646056374272,neutral
641283236929269761,negative
641286935772708870,neutral
641287889112928256,negative
641303378719543296,negative
641307848568344577,positive
641309506748682240,negative
641310847470567424,positive
641312202528567296,negative
641323600822304768,negative
641324610580021248,positive
641330241965789184,positive
641334097328140288,neutral
641338069287759873,neutral
641338441024712705,positive
641342271833534464,negative
641342385348210690,negative
641350001637982209,negative
641351471645089792,positive
641357094654885888,positive
641357479692009472,positive
641358180711206915,positive
641361087766528000,positive
641365273417662465,positive
641368424145387521,positive
641370873757335552,negative
641372583892422657,positive
641378494757400576,positive
641380820180172801,negative
641385971460648960,positive
641390986367668224,positive
641394457871536129,positive
641400128612511744,negative
641400681597939712,neutral
641403375972552704,negative
641403775442362368,positive
641404820855914496,neutral
641405573007708160,positive
641407598084923393,neutral
641407753383227393,negative
641426301845393412,negative
641426934426013696,positive
641437722045890561,negative
641439198021615616,positive
641446257173528576,positive
641454770897588224,neutral
641462939090817024,positive
641468264413945856,neutral
641469518846496768,positive
641472127665864704,neutral
641472833076469760,positive
641476313761611776,positive
641487529703817216,neutral
641492941454901248,negative
641497329112059904,neutral
641499203730960384,positive
641499463316582400,negative
641503123119341568,negative
641506752848990208,negative
641509564937076737,positive
641510138235367424,neutral
641512481647517696,positive
641514019304697856,positive
641525132738039808,neutral
641540897243561985,negative
641548065040658436,positive
641561756259643393,positive
641566947566616576,positive
641597227652280320,neutral
641605833101561856,positive
641611227765080064,neutral
641621763126902784,positive
641623668074917888,positive
641626377142169601,positive
641629066223833088,positive
641632441665347584,negative
641636086398087170,positive
641641548741017600,positive
641647937236373504,negative
641648591279378433,positive
641649190355996672,positive
641651845421768704,negative
641661703508332544,positive
628810212095475712,negative
628854701858099200,positive
628885558488637440,negative
628925899929313280,positive
629069918315544580,positive
629122242236932096,negative
629231802469732352,negative
629541944063074305,positive
629606784706195456,negative
629739536801771520,positive
629747510442098689,negative
629750527560142848,positive
629984420049592320,negative
630016985909358592,negative
630362430535782400,positive
630374444830171137,negative
630471077311946752,positive
630556126191325184,negative
630801838544031744,neutral
630877542736658433,positive
630939756440846337,positive
630949831817605120,positive
631228786265096193,positive
631808336032366592,negative
631863912976252928,negative
631954824100102144,positive
632005394106331136,negative
632192537156042756,neutral
632262593889984512,positive
632416925348294656,positive
632436722324783104,positive
632569836049141761,positive
632584620811395073,neutral
632648782199554049,positive
632658096150716416,neutral
632670282025668608,positive
632670426725023745,positive
632730639507197952,positive
632911254957350912,positive
632985427406913536,positive
633021033281388544,positive
633405121976778753,neutral
633621678392770560,positive
633679857331908608,positive
633827911972356096,positive
633838929767211008,positive
633839875989590017,positive
633905855797309440,positive
634134662621691904,positive
634738654175342592,negative
634789226140139520,positive
634819130269532160,negative
635106856612925440,positive
635230466329681920,neutral
635669962074554368,negative
635844755356819456,positive
635867899173957634,positive
636084058385195008,negative
636303625938075648,positive
636391115034333185,positive
636597885103153152,positive
636613774259064832,positive
636698611867385857,neutral
636699757231083521,negative
636702823577612288,positive
636712645568163842,negative
636770930019053568,positive
636904941328728064,positive
636956939008786433,positive
637039838580113408,negative
637209631027261441,negative
637222123476533248,positive
637453598734057472,neutral
637722386683424768,negative
638013081818415104,negative
638027598707167232,positive
638209440785805312,negative
638390556675194880,positive
638756190202126336,negative
639002332219502592,negative
639067023054651392,positive
639111212870037504,negative
639121032830394368,positive
639228849704804352,positive
639679594757533696,neutral
639789494120677377,neutral
640278345461141504,positive
640446365731057664,negative
640751933171597313,positive
640882391960129536,positive
640896835234701312,positive
641050683731496960,negative
641274412629553152,positive
641284529982959616,positive
641323432186089473,negative
641354192422989824,neutral
641367727270174720,positive
641418634770825216,negative
641648879646175232,negative
621334741221048320,positive
621335034859925504,positive
621338343746355200,neutral
621339506529054720,positive
621340194382475264,positive
621340584804888578,neutral
621341016587698176,negative
621342283703693312,positive
621345130700615680,negative
621346870686826496,positive
621347496103514112,positive
621351052047028224,positive
621351167394729984,positive
621351900311478272,positive
621352732117504000,positive
621354798126764032,positive
621355228009472001,positive
621357165211742208,positive
621358259933462528,positive
621359167974961153,positive
621360556868521984,positive
621365073701810180,positive
621365125623189504,positive
621366451421622272,positive
621375187255083008,positive
621392677519540224,negative
621393831326576640,positive
621397987722416129,neutral
621399334806884352,neutral
621403164856549376,neutral
621407198153998337,neutral
621410470252138496,neutral
621411446958600192,positive
621411710520262656,neutral
621413610657443840,positive
621417205742219264,positive
621420485411082241,positive
621422587382358016,positive
621422611847880704,neutral
621423173880315904,positive
621424730407587840,positive
621426617479335936,positive
621432923137257472,negative
621435426197368832,positive
621435513069813760,neutral
621440496297201664,positive
621441702021210112,positive
621442454743568384,positive
621443908090793984,positive
621449015217909760,positive
621463364758212608,negative
621468278909579266,neutral
621472538737119232,positive
621476594809319426,positive
621477327592124416,positive
621479832078057472,positive
621493751421239296,positive
621499189248307202,neutral
621499402474139648,negative
621500508738457600,positive
621511488642093056,negative
621512105842343936,positive
621513803532890113,negative
621514097935298560,positive
621515755729895424,neutral
621519370921967620,positive
